AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,CT/1,CT/1/LABEL,CT/1/ID
kidney,,UBERON:0002113,renal medulla,,UBERON:0000362,,,,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,cortex of kidney,,UBERON:0001225,renal corpuscle,,UBERON:0001229,renal efferent arteriole,,UBERON:0004640,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,nephron,,UBERON:0001285,renal corpuscle,,UBERON:0001229,renal efferent arteriole,,UBERON:0004640,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,kidney vasculature,,UBERON:0006544,renal efferent arteriole,,UBERON:0004640,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
endothelium,,UBERON:0001986,,,,,,,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,renal medulla,,UBERON:0000362,,,,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,cortex of kidney,,UBERON:0001225,renal corpuscle,,UBERON:0001229,renal efferent arteriole,,UBERON:0004640,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,nephron,,UBERON:0001285,renal corpuscle,,UBERON:0001229,renal efferent arteriole,,UBERON:0004640,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,kidney vasculature,,UBERON:0006544,renal efferent arteriole,,UBERON:0004640,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
endothelium,,UBERON:0001986,,,,,,,,,,,,,kidney efferent arteriole endothelial cell,,CL:1001099
kidney,,UBERON:0002113,nephron,,UBERON:0001285,,,,,,,,,,renal beta-intercalated cell,,CL:0002201
kidney,,UBERON:0002113,cortex of kidney,,UBERON:0001225,proximal tubule,,UBERON:0004134,,,,,,,epithelial cell of proximal tubule segment 1,,CL:4030009
kidney,,UBERON:0002113,nephron,,UBERON:0001285,nephron tubule,,UBERON:0001231,proximal tubule,,UBERON:0004134,,,,epithelial cell of proximal tubule segment 1,,CL:4030009
kidney,,UBERON:0002113,nephron,,UBERON:0001285,outer medullary collecting duct,,UBERON:0004204,,,,,,,kidney outer medulla collecting duct principal cell,,CL:1000716
kidney,,UBERON:0002113,renal collecting system,,UBERON:0004100,outer medullary collecting duct,,UBERON:0004204,,,,,,,kidney outer medulla collecting duct principal cell,,CL:1000716
kidney,,UBERON:0002113,renal medulla,,UBERON:0000362,outer medullary collecting duct,,UBERON:0004204,,,,,,,kidney outer medulla collecting duct principal cell,,CL:1000716
kidney,,UBERON:0002113,renal collecting system,,UBERON:0004100,collecting duct of renal tubule,,UBERON:0001232,,,,,,,kidney outer medulla collecting duct principal cell,,CL:1000716
kidney,,UBERON:0002113,nephron,,UBERON:0001285,collecting duct of renal tubule,,UBERON:0001232,,,,,,,kidney outer medulla collecting duct principal cell,,CL:1000716
kidney,,UBERON:0002113,kidney interstitium,,UBERON:0005215,,,,,,,,,,renal interstitial pericyte,,CL:1001318
kidney,,UBERON:0002113,kidney vasculature,,UBERON:0006544,peritubular capillary,,UBERON:0005272,endothelium of peritubular capillary,,UBERON:0012441,,,,,,
kidney,,UBERON:0002113,renal collecting system,,UBERON:0004100,collecting duct of renal tubule,,UBERON:0001232,,,,,,,kidney collecting duct epithelial cell,,CL:1000454
kidney,,UBERON:0002113,nephron,,UBERON:0001285,collecting duct of renal tubule,,UBERON:0001232,,,,,,,kidney collecting duct epithelial cell,,CL:1000454
kidney,,UBERON:0002113,kidney interstitium,,UBERON:0005215,mesangium,,UBERON:0002319,glomerular mesangium,,UBERON:0002320,,,,glomerular mesangial cell,,CL:1000742
kidney,,UBERON:0002113,cortex of kidney,,UBERON:0001225,renal corpuscle,,UBERON:0001229,mesangium,,UBERON:0002319,glomerular mesangium,,UBERON:0002320,glomerular mesangial cell,,CL:1000742
kidney,,UBERON:0002113,nephron,,UBERON:0001285,renal corpuscle,,UBERON:0001229,mesangium,,UBERON:0002319,glomerular mesangium,,UBERON:0002320,glomerular mesangial cell,,CL:1000742
kidney,,UBERON:0002113,kidney vasculature,,UBERON:0006544,glomerular mesangium,,UBERON:0002320,,,,,,,glomerular mesangial cell,,CL:1000742
kidney,,UBERON:0002113,cortex of kidney,,UBERON:0001225,renal corpuscle,,UBERON:0001229,renal glomerulus vasculature,,UBERON:0004190,glomerular mesangium,,UBERON:0002320,glomerular mesangial cell,,CL:1000742
